follower_count,profile_image,retweets,sentiment,text,user_name,user_url,date,influence
134.0,https://pbs.twimg.com/profile_images/1058069966384185344/g0hxl76z_normal.jpg,35253.0,neutral,"@HerDreadsRock: Nobody:

Me at 12am on February 1st every year: https://t.co/oN7x1Tlqhg",sadie.,https://twitter.com/sadie__modi,2019-02-01 ,1
44.0,https://pbs.twimg.com/profile_images/948367308677816320/vcT5AL1V_normal.jpg,11112.0,neutral,"@RahulGandhi: I spoke with Mamata Di tonight and told her we stand shoulder to shoulder with her. 

The happenings in Bengal are a part…",Eswaran,https://twitter.com/gpa_eswar,2019-02-03 ,1
0.0,https://pbs.twimg.com/profile_images/1089196518064541696/j1vMIGHK_normal.jpg,8173.0,positive,@narendramodi: I thank the people of Jind for blessing @BJP4Haryana. This is a seat where the Party has never won before. Glad to see th…,Praveen Pandey,https://twitter.com/Praveen07319996,2019-02-01 ,1
270.0,https://pbs.twimg.com/profile_images/879218373573304320/aPWomkgV_normal.jpg,7437.0,neutral,"@rahulroushan: Pappu brought PG (Priyanka Gandhi) 
Modi brought PG (Piyush Goyal) 

ab RT karo sab",Shantilal sharma,https://twitter.com/sharma3670,2019-02-01 ,10
2292.0,https://pbs.twimg.com/profile_images/939099593756889088/RcbqnoUc_normal.jpg,7143.0,positive,@arunjaitley: Modi Government clears one more step to get Mallya extradited while Opposition rallies around the Saradha Scamsters.,Braj Gopal Pandey,https://twitter.com/pandey_braj,2019-02-04 ,3
797.0,https://pbs.twimg.com/profile_images/548400521438965760/FUs0G1VE_normal.jpeg,6385.0,neutral,"@narendramodi_in: मुझे भी गुजरात में 9-9 घंटे तक बिठाकर दिल्ली से आई एजेंसियां पूछताछ करती थीं। 

तब मैंने एक बार भी नहीं कहा था कि दिल्…",@run,https://twitter.com/mitron_mufc,2019-02-02 ,1
98.0,https://pbs.twimg.com/profile_images/722404313318957056/8Zsv_HIg_normal.jpg,6353.0,neutral,"@BJP4Karnataka: - Arrests CBI
- Denied permission for rallies
- Doesn’t let @AmitShah’s choppers land
- Let’s her goonda party men to ki…",SachinMundra 🇮🇳,https://twitter.com/xxSachinx,2019-02-03 ,1
35.0,https://pbs.twimg.com/profile_images/978220365175541760/mcYCDLQo_normal.jpg,6219.0,positive,@Swamy39: Thanks to Namo it seems Dubai / Abu Dhabhi no more safe sanctuary for Indian criminals. If this trend continues we shall soon…,Sahjanand Rai,https://twitter.com/sahaj37,2019-02-01 ,1
43.0,https://pbs.twimg.com/profile_images/988250358844538880/AcXGotWN_normal.jpg,6176.0,neutral,@manakgupta: BJP शासित राज्यों समेत पूरे देश में बेरोक-टोक घूमती हैं लेकिन बंगाल में आने से BJP नेताओं को हर बार रोक देती हैं....!! पर ए…,Shekhar,https://twitter.com/252b4a12ee604fa,2019-02-06 ,1
3.0,https://pbs.twimg.com/profile_images/1091514043368562688/W5vIGuOo_normal.jpg,6119.0,positive,@narendramodi: I want your direct feedback on various issues…take part in the survey on the ‘Narendra Modi Mobile App.' https://t.co/hds…,Rajutrivedi,https://twitter.com/Rajutrivedi11,2019-02-01 ,1
