Metro,sentiment,retweets
Bengaluru,negative,12.165536761388116
Bengaluru,neutral,72.38385002739344
Bengaluru,positive,15.450613211218442
Delhi,negative,17.835229332834
Delhi,neutral,60.70964452551622
Delhi,positive,21.45512614164978
Hyderabad,negative,9.25089962121212
Hyderabad,neutral,79.16131628787879
Hyderabad,positive,11.587784090909091
Kolkata,negative,11.875221460283052
Kolkata,neutral,74.30161848385684
Kolkata,positive,13.8231600558601
Mumbai,negative,9.78143104632098
Mumbai,neutral,76.30702768214283
Mumbai,positive,13.91154127153619
