Metro,sentiment,retweets
Bengaluru,negative,14.2165398931866
Bengaluru,neutral,48.63505421589254
Bengaluru,positive,37.14840589092086
Delhi,negative,9.12125827073815
Delhi,neutral,61.02406580453095
Delhi,positive,29.854675924730905
Hyderabad,negative,13.315647956978921
Hyderabad,neutral,54.344120612666245
Hyderabad,positive,32.34023143035483
Kolkata,negative,11.26526492022848
Kolkata,neutral,45.50792791018318
Kolkata,positive,43.22680716958834
Mumbai,negative,20.78355664579662
Mumbai,neutral,43.38519850160732
Mumbai,positive,35.831244852596065
