cleaned_text,created_at,follower_count,profile_image,retweets,sentiment,text,tweet_id,user_name,user_url
PriyoBabul Apart from that I think its the FREE publicity she derived from hundreds of news channels for coveri,2019-02-06 23:59:55,797,https://pbs.twimg.com/profile_images/2999542883/83ce708571c728a759c10658cfef2099_normal.jpeg,0,positive,"PriyoBabul Apart from that, I think its the FREE publicity she derived from hundreds of news channels for coveri… https://t.co/CzySCYC5Ao",1093298275271233537,SHANKAR🇮🇳,https://twitter.com/sinhashankar
Modi ji Se Na Ho Payega,2019-02-06 23:59:54,156,https://pbs.twimg.com/profile_images/1076696630861037569/qQf_yeFr_normal.jpg,1964,neutral,@RuchiraC: Modi ji Se Na Ho Payega! https://t.co/rw4Nu0PxMA,1093298269189332992,Lucky strike भाग्यशाली हड़ताल خوش قمستی,https://twitter.com/Luckystrike_007
adimRizviFans Mera baba but aj k jwano ka sardar jo boly to kofr lrz jae America jese super pow,2019-02-06 23:59:52,109,https://pbs.twimg.com/profile_images/1085522687747862528/b8kC9RWc_normal.jpg,0,positive,adimRizviFans @zafariq25787244 Mera baba but aj k jwano ka sardar jo boly to kofr lrz jae America jese super pow… https://t.co/90yRt4CXlB,1093298259915886594,Km Lbaik Waly,https://twitter.com/KmLbaik
The Modi government’s economic policy has been disproportionately focused on a few big corporations neglecting small fi…,2019-02-06 23:59:50,345,https://pbs.twimg.com/profile_images/1065476614685782018/xjOV8sNw_normal.jpg,918,negative,"@yadavakhilesh: The Modi government’s economic policy has been disproportionately focused on a few big corporations, neglecting small fi…",1093298251040784384,SamajwadiParty Kanpur🐦,https://twitter.com/SamajwadipartyK
Did Modi govt exchange fake currency during demonetisation According to RBI’s annual reports it printed only ₹14.11 lakh c…,2019-02-06 23:59:48,3139,https://pbs.twimg.com/profile_images/997916593324638209/_Mt4Jzo9_normal.jpg,97,negative,"@vidya7281: Did Modi govt exchange fake currency during demonetisation? According to RBI’s annual reports, it printed only ₹14.11 lakh c…",1093298243545444352,Yash,https://twitter.com/puriyash41
4000 graduates including engineers &amp MBAs forced to compete for just 14 sweeper jobs in TN This appalling job crisis is…,2019-02-06 23:59:45,398,https://pbs.twimg.com/profile_images/549850448610742272/aW7H8i8A_normal.jpeg,347,negative,"@drshamamohd: 4000 graduates including engineers &amp; MBAs forced to compete for just 14 sweeper jobs in TN. 

This appalling job crisis is…",1093298230668988416,Salim,https://twitter.com/Salim_R_Qadri
Prediction The more the Modi govt targets #PriyankaGandhiVadra the more powerful she will become Modi &amp Shah know the con…,2019-02-06 23:59:43,124,https://pbs.twimg.com/profile_images/1062533074536292352/l6uFlKYd_normal.jpg,106,positive,"@SalmanSoz: Prediction: The more the Modi govt targets #PriyankaGandhiVadra, the more powerful she will become. Modi &amp; Shah know the con…",1093298223261863941,Yash,https://twitter.com/Girish24074485
the Congress as well as Maha Thug Bandhan wishes to settle these Rohingyas in India Desh ko barbaad kar denge,2019-02-06 23:59:42,22360,https://pbs.twimg.com/profile_images/1079192552073543680/vwfxlnCL_normal.jpg,1,neutral," the Congress as well as Maha Thug Bandhan wishes to settle these Rohingyas in India 
Desh ko barbaad kar denge… https://t.co/naIBKVSB78",1093298218845200385,Dhiraj Ahuja,https://twitter.com/DhirajAhuja1108
She has signs of a confident drunkard That he has unaccounted property in London is a fact Why support the corrupt Is it oka…,2019-02-06 23:59:41,399,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,41,neutral,@amz360: She has signs of a confident drunkard. That he has unaccounted property in London is a fact. Why support the corrupt? Is it oka…,1093298214055358469,Italian congress,https://twitter.com/congressmafia
India is making an impressive growth in value of Digital Payments through IMPS In the month of Nov 2018 the transaction was…,2019-02-06 23:59:32,42,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,478,positive,"@mvmeet: India is making an impressive growth in value of Digital Payments through IMPS

In the month of Nov 2018, 
the transaction was…",1093298176717713409,Rabish Jha,https://twitter.com/Rabishj
There were outcry in media to bring back fugitives like Vijay Mallaya Nirav Modi Mehul Choksi Christian Michel etc.…,2019-02-06 23:59:24,117,https://pbs.twimg.com/profile_images/797806250507567105/JhoA1NCo_normal.jpg,636,neutral,"@jgopikrishnan70: There were outcry in media to bring back fugitives like Vijay Mallaya, Nirav Modi, Mehul Choksi, Christian Michel etc.…",1093298143859363840,P Ramesh,https://twitter.com/Panatala_Ramesh
Here's why ace investor Rakesh Jhunjhunwala believes Narendra Modi will be back as the Prime Minister in #LokSabhaElections2…,2019-02-06 23:59:24,232,https://pbs.twimg.com/profile_images/1084460073412448257/6IAdOYt__normal.jpg,2535,neutral,@ETNOWlive: Here's why ace investor Rakesh Jhunjhunwala believes Narendra Modi will be back as the Prime Minister in #LokSabhaElections2…,1093298142064316416,DEVENDRA GURBAXANI,https://twitter.com/DEVENDRAGURBAXA
_Bhandari Seeing situation in West Bengal &amp rising BJP Vote share it will be a terrific if PM Modi contests a seat from there wil…,2019-02-06 23:59:21,579,https://pbs.twimg.com/profile_images/1087305415342415872/FJ8LmMdq_normal.jpg,1105,neutral,"@Ish_Bhandari: Seeing situation in West Bengal &amp; rising BJP Vote share, it will be a terrific if PM Modi contests a seat from there, wil…",1093298132618825729,Ankit Sharma,https://twitter.com/0807ankit
_ As I watched a video of Hafiz Saeed at a rally in Lahore foaming at the mouth like a rabid dog about PM Modi's visit to…,2019-02-06 23:59:21,273,https://pbs.twimg.com/profile_images/1092656683304636416/QU4vkYG5_normal.jpg,428,neutral,"@HarbirSingh_: As I watched a video of Hafiz Saeed at a rally in Lahore, foaming at the mouth like a rabid dog about PM Modi's visit to…",1093298128881471488,MeghNaad🏹☢️🕉️,https://twitter.com/AbleArcher7
‘Modi Government’s Track Record Is Splendid NDA Cleaned Up UPA’s Mess’ Noted Economist Arvind Panagariya,2019-02-06 23:59:15,460,https://pbs.twimg.com/profile_images/865242095765917697/efeVkyFo_normal.jpg,1593,positive,"@SwarajyaMag: ‘Modi Government’s Track Record Is Splendid, NDA Cleaned Up UPA’s Mess’: Noted Economist Arvind Panagariya

https://t.co/s…",1093298106773336064,Reah J.,https://twitter.com/PoisonOfChoice
इतिहा मे पहल बा को प्रधानमंत्र बोल पाकिस्तान बांग्लादेश हिन्दुओ क बार में. औ लिय ए संकल् भ https:/…,2019-02-06 23:59:11,870,https://pbs.twimg.com/profile_images/1093674839498506240/-fpzWMm8_normal.jpg,184,neutral,@SudarshanNewsTV: इतिहास में पहली बार कोई प्रधानमंत्री बोला पाकिस्तानी व बांग्लादेशी हिन्दुओं के बारे में.. और लिया एक संकल्प भी https:/…,1093298089425686531,Nandan Singh🇮🇳🇮🇳,https://twitter.com/Nandanneev
‘Modi Government’s Track Record Is Splendid NDA Cleaned Up UPA’s Mess’ Noted Economist Arvind Panagariya,2019-02-06 23:59:10,535,https://pbs.twimg.com/profile_images/1080853704780189696/dAXUcU4k_normal.jpg,1593,positive,"@SwarajyaMag: ‘Modi Government’s Track Record Is Splendid, NDA Cleaned Up UPA’s Mess’: Noted Economist Arvind Panagariya

https://t.co/s…",1093298086372364288,shiv shankar,https://twitter.com/sibu_57957
