cleaned_text,created_at,follower_count,profile_image,retweets,sentiment,text,tweet_id,user_name,user_url
Listen to him He is the senior most Congress MP from West Bengal Shri Adhir Ranjan Chowdhury Now Rahul Gandhi ji &amp Cong…,2019-02-06 23:59:54,3641,https://pbs.twimg.com/profile_images/1093353638699839488/QXDJz3WD_normal.jpg,2601,positive,"@KirenRijiju: Listen to him. He is the senior most Congress MP from West Bengal Shri Adhir Ranjan Chowdhury. Now, Rahul Gandhi ji &amp; Cong…",1093298267922800640,Narendra Lowanshi 🇮🇳,https://twitter.com/n2r3ndr2
"Yesterday he opposed the conversion activity done by Muslims in a Dalit colony Today he got MURDERED His name was Ramalingam,…",2019-02-06 23:59:39,117,https://pbs.twimg.com/profile_images/797806250507567105/JhoA1NCo_normal.jpg,5529,neutral,"@mvmeet: Yesterday he opposed the conversion activity done by Muslims in a Dalit colony

Today he got MURDERED

His name was Ramalingam,…",1093298206220345344,P Ramesh,https://twitter.com/Panatala_Ramesh
Priyanka Gandhi is the new Taimur Ali Khan of Indian politics Brilliant one by,2019-02-06 23:58:54,1417,https://pbs.twimg.com/profile_images/982525584671690752/ujaXXwsz_normal.jpg,1228,positive,@nirwamehta: Priyanka Gandhi is the new Taimur Ali Khan of Indian politics. Brilliant one by @mitraphoenix https://t.co/GhIbVZNAZz,1093298018890113024,narendra singh,https://twitter.com/SinghNarendradr
"Yesterday he opposed the conversion activity done by Muslims in a Dalit colony Today he got MURDERED His name was Ramalingam,…",2019-02-06 23:58:06,368,https://pbs.twimg.com/profile_images/848255196182355968/6ZCC6Nwf_normal.jpg,5529,neutral,"@mvmeet: Yesterday he opposed the conversion activity done by Muslims in a Dalit colony

Today he got MURDERED

His name was Ramalingam,…",1093297814610669568,संघ शक्ति,https://twitter.com/tushar2085
Priyanka Gandhi is the new Taimur Ali Khan of Indian politics Brilliant one by,2019-02-06 23:57:56,8091,https://pbs.twimg.com/profile_images/941672481613639680/rPafcJ9n_normal.jpg,1228,positive,@nirwamehta: Priyanka Gandhi is the new Taimur Ali Khan of Indian politics. Brilliant one by @mitraphoenix https://t.co/GhIbVZNAZz,1093297775209533440,Ashok “अशोक”,https://twitter.com/NaharAshok
"Yesterday he opposed the conversion activity done by Muslims in a Dalit colony Today he got MURDERED His name was Ramalingam,…",2019-02-06 23:57:43,40,https://pbs.twimg.com/profile_images/848879166128881664/FRdSenk8_normal.jpg,5529,neutral,"@mvmeet: Yesterday he opposed the conversion activity done by Muslims in a Dalit colony

Today he got MURDERED

His name was Ramalingam,…",1093297719395958784,Posh Troll,https://twitter.com/Maximbull1
Priyanka Gandhi is the new Taimur Ali Khan of Indian politics Brilliant one by,2019-02-06 23:57:22,147,https://pbs.twimg.com/profile_images/921403136/DSC00118_normal.JPG,1228,positive,@nirwamehta: Priyanka Gandhi is the new Taimur Ali Khan of Indian politics. Brilliant one by @mitraphoenix https://t.co/GhIbVZNAZz,1093297631290216448,Anshumaan Malethia,https://twitter.com/Anshumaan06
राहु गांध स 4 सवा पू BJP न बोल हमला ए रोडपत स करोड़पत कैस ब ग रॉबर् वाड्रा NDTV,2019-02-06 23:57:06,186,https://pbs.twimg.com/profile_images/694500269686550529/brqcNP94_normal.jpg,1703,neutral,@sambitswaraj: राहुल गांधी से 4 सवाल पूछ BJP ने बोला हमला: एक रोडपति से करोड़पति कैसे बन गए रॉबर्ट वाड्रा? - NDTV https://t.co/nDj5EfN5oG,1093297563724201985,Kashyap Chandan Kumar🇮🇳,https://twitter.com/BITEE07_CHANDAN
"Yesterday he opposed the conversion activity done by Muslims in a Dalit colony Today he got MURDERED His name was Ramalingam,…",2019-02-06 23:56:03,2657,https://pbs.twimg.com/profile_images/1006017541930700800/VjzBkUzn_normal.jpg,5529,neutral,"@mvmeet: Yesterday he opposed the conversion activity done by Muslims in a Dalit colony

Today he got MURDERED

His name was Ramalingam,…",1093297299831341056,Kamlesh Chaurasia,https://twitter.com/Yuva_Bharat1
"All you wanted to know about the Rs 2,000 crore #NationalHerald property court case against ⁦ &amp Sonia Gand…",2019-02-06 23:55:47,30,https://pbs.twimg.com/profile_images/952675914890010626/IdeQfrs3_normal.jpg,977,neutral,"@MinhazMerchant: All you wanted to know about the Rs 2,000 crore  #NationalHerald property court case against ⁦@RahulGandhi &amp; Sonia Gand…",1093297234987413504,Ravi Chouhan,https://twitter.com/ravi_chouhan
ruv_rathee Yeah.. Because why should we listen to courts when we have Dhruv rathee and Rahul Gandhi to decide all criminal cases.,2019-02-06 23:55:44,1071,https://pbs.twimg.com/profile_images/1009878301626720256/wL87S8hM_normal.jpg,0,negative,ruv_rathee Yeah... Because why should we listen to courts when we have Dhruv rathee and Rahul Gandhi to decide all criminal cases.,1093297218654748675,Shitiz Srivastava,https://twitter.com/stamewo
Here the dope Rahul Gandhi compareing the LGBT community with the Dalits,2019-02-06 23:55:27,20,https://pbs.twimg.com/profile_images/867745799362498560/ErMkz8Lj_normal.jpg,144,neutral,@HLKodo: Here the dope Rahul Gandhi compareing the LGBT community with the Dalits. 😡 https://t.co/5d7LABszB3,1093297150954536960,Fourier,https://twitter.com/UnderBreakdown
यद स म प्रियंक मे इंदिर क छव दिखत ह त य #हिंदुओ क लि #घात ह क्योक य वह छव ह जिसन द हज़ा साधुवो की…,2019-02-06 23:54:27,1363,https://pbs.twimg.com/profile_images/1074194569930039297/pvAnV-pB_normal.jpg,195,neutral,"@UChurasia: यदि सच मे प्रियंका में इंदिरा की छवि दिखती है तो यह #हिंदुओं के लिए #घातक है 
क्योकि ये वही छवि है जिसने दस हज़ार साधुवों की…",1093296898159624192,Shivaji Modi,https://twitter.com/shiv4modi
"Yesterday he opposed the conversion activity done by Muslims in a Dalit colony Today he got MURDERED His name was Ramalingam,…",2019-02-06 23:53:49,23,https://pbs.twimg.com/profile_images/555366050363998208/PSfNmr20_normal.jpeg,5529,neutral,"@mvmeet: Yesterday he opposed the conversion activity done by Muslims in a Dalit colony

Today he got MURDERED

His name was Ramalingam,…",1093296737442250767,Vamsi,https://twitter.com/dvk2015
