cleaned_text,created_at,follower_count,profile_image,retweets,sentiment,text,tweet_id,user_name,user_url,Metro
Yes #Andhra is convinced that Modi did a lot of damage to #Andhra Modis puppet master #Reliance #Ambani parasites of Andhra…,2019-01-31 23:59:58,73,https://pbs.twimg.com/profile_images/963100926947897344/kqtuXjiu_normal.jpg,22,neutral,@Teloogoo: Yes. #Andhra is convinced that Modi did a lot of damage to #Andhra. Modis puppet master #Reliance #Ambani parasites of Andhra…,1091123957728595968,Ramakrishnan Kayanattil,https://twitter.com/Ramakri39056152,Bengaluru
Hey how about you Congratulating #Chowkidar for catching hold of corrupt dealers from your Govt We didn’t s…,2019-01-31 23:59:58,74,https://pbs.twimg.com/profile_images/766535909344890880/hzuXxO9T_normal.jpg,382,positive,"@SuPriyoBabul: Hey @RahulGandhi how about you Congratulating #Chowkidar for catching hold of corrupt dealers from your Govt

We didn’t s…",1091123956805824512,Arun Mohanty,https://twitter.com/akmohanty07,Bengaluru
Any report or data that is critical of the Govt is fake for Bhakts. Clearly only thing authentic for them is Best PM Award t…,2019-01-31 23:59:50,194,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,120,positive,"@Vishj05: Any report or data that is critical of the Govt is fake for Bhakts.

Clearly, only thing authentic for them is Best PM Award t…",1091123926195888130,Freesoul,https://twitter.com/Freeindiansoul,Delhi
Modi Govt has sanctioned more educational institutions of national importance to Andhra in last 4 1/2 years than in any s…,2019-01-31 23:59:47,440,https://pbs.twimg.com/profile_images/1094198325983596544/rN5TsZmW_normal.jpg,1827,positive,@sambitswaraj: Modi Govt has sanctioned more educational institutions of national importance to Andhra in last 4 1/2 years than in any s…,1091123910739808256,Shobhit Jayaswal🇮🇳,https://twitter.com/ShobhitJDhoni,Kolkata
Headline 'Twitterati ask PM Modi over job loss' Tweets r of Congress Divya Surjewala It was official Congress trend…,2019-01-31 23:59:45,40,https://pbs.twimg.com/profile_images/1036569652967755776/uSYdRCJm_normal.jpg,183,neutral,"@iAnkurSingh: Headline- 'Twitterati ask PM Modi over job loss'

Tweets r of Congress, Divya, Surjewala. It was official Congress trend…",1091123904310059010,Damien Fleming,https://twitter.com/Dam_Fleming,Bengaluru
I guess Congress had a plan however they peaked 7 months earlier It’s all downhill for them now onwards. BJP has start…,2019-01-31 23:59:43,546,https://pbs.twimg.com/profile_images/973989112830029824/57V8zTI0_normal.jpg,503,neutral,"@PawanDurani: I guess Congress had a plan , however they peaked 7 months earlier. It’s all downhill for them now onwards.

BJP has start…",1091123894327566337,gadwal mallikarjuna,https://twitter.com/gadwalmallu,Bengaluru
Hey how about you Congratulating #Chowkidar for catching hold of corrupt dealers from your Govt We didn’t…,2019-01-31 23:59:40,356,https://pbs.twimg.com/profile_images/939646922490548225/0xjRUsVd_normal.jpg,1981,positive,"@BJP4Karnataka: Hey @RahulGandhi how about you Congratulating #Chowkidar for catching hold of corrupt dealers from your Govt

We didn’t…",1091123881933295616,ganesh,https://twitter.com/ganeshbv1,Hyderabad
Gangster Ravi Pujari arrested in Senegal will be brought to India. Christian Michel &amp Rajiv Saxena already brought to Indi…,2019-01-31 23:59:39,1203,https://pbs.twimg.com/profile_images/1092752660707663872/Fov1Rpzv_normal.jpg,2997,neutral,"@DrGPradhan: Gangster Ravi Pujari arrested in Senegal will be brought to India.

Christian Michel &amp; Rajiv Saxena already brought to Indi…",1091123880750534656,Chil Swarr 🇮🇳,https://twitter.com/chilswar,Mumbai
الرسال ترو القل بوصال والل لأرس لي يفن رصيـدي . لك غلا بقلب أكث م ارسال ح البش ينق وحب يزيدي,2019-01-31 23:59:32,174,https://pbs.twimg.com/profile_images/577003243156291584/LpBuRTOL_normal.jpeg,0,neutral,"الرسالة تروي القلب بوصال
والله لأرسل لين يفنى رصيـدي
.
لكن غلاك بقلبي أكثر من ارسال
حب البشر ينقص وحبك يزيدي",1091123848051900419,hamed,https://twitter.com/modi_296,Delhi
Actor Claims Two MAGA Fans Attacked Him Here Is The Full Story _Hammer,2019-01-31 23:59:31,83,https://pbs.twimg.com/profile_images/839653386337267712/zbmLKTIa_normal.jpg,13,positive,@realDailyWire: Actor Claims Two MAGA Fans Attacked Him. Here Is The Full Story. | @Josh_Hammer https://t.co/xywXTss4Qc https://t.co/lnZ…,1091123846818746368,Modiglian,https://twitter.com/modi_glian,Hyderabad
nzerUberAlles _ky Rita cazxo i toni i modi!!,2019-01-31 23:59:29,332,https://pbs.twimg.com/profile_images/1050479906864459779/8gIAdehT_normal.jpg,0,neutral,nzerUberAlles @sunday_ky Rita cazxo i toni i modi!!,1091123838400843783,perplessa,https://twitter.com/annaperply,Delhi
On a day when the Unemployment figures showed that Demonetisation soared it to a 45 year high Modi Govt quickly fudges GDP…,2019-01-31 23:59:27,133,https://pbs.twimg.com/profile_images/923253251679514624/2OaGaCJm_normal.jpg,279,positive,"@rachitseth: On a day when the Unemployment figures showed that Demonetisation soared it to a 45 year high, Modi Govt quickly fudges GDP…",1091123828120379393,sushil singh,https://twitter.com/stormagain,Kolkata
