cleaned_text,created_at,follower_count,profile_image,retweets,sentiment,text,tweet_id,user_name,user_url
Goa CM Manohar parrikar suffering from Pancreatic Cancer but Rahul Gandhi is Himself a Cancer for this countr…,2019-01-31 23:59:52,314,https://pbs.twimg.com/profile_images/470603403349860352/eDBRvT9q_normal.jpeg,797,neutral,@rishibagree: @RahulGandhi Goa CM Manohar parrikar suffering from Pancreatic Cancer but Rahul Gandhi is Himself a Cancer for this countr…,1091123933389086720,Ankur Agarwal 🛫🇮🇳,https://twitter.com/ruknagi
_Maarx Rahul Gandhi Sahab if you feel that Mahatma Gandhi had learnt Peace from Islam you can definitely learn mathematics from…,2019-01-31 23:59:46,1676,https://pbs.twimg.com/profile_images/836710334018818048/qrdk2__t_normal.jpg,866,neutral,"@Karl_Maarx: Rahul Gandhi Sahab, if you feel that Mahatma Gandhi had learnt Peace from Islam, you can definitely learn mathematics from…",1091123908982362112,Gourab  Mondal,https://twitter.com/GourabMondalSun
"""Worst thing that centuries of slavery did to us as a nation is that we began believing in the divine right of some pp…",2019-01-31 23:59:44,1566,https://pbs.twimg.com/profile_images/1070465595798405120/OKmb6gvs_normal.jpg,115,negative,"@VandanaJayrajan: ""Worst thing that centuries of slavery did to us as a nation is that we began believing in the divine right of some pp…",1091123899117551617,binugazi NAMO in २०१९,https://twitter.com/binugazi
PM P V Narasimha Rao “What you promise for the future is strengthened by what you have done in the past.If you have done n…,2019-01-31 23:59:39,14,https://pbs.twimg.com/profile_images/1084363799208038403/lWjda-9-_normal.jpg,4525,neutral,"@BJP4India: PM P V Narasimha Rao: “What you promise for the future, is strengthened by what you have done in the past.If you have done n…",1091123880838627328,Karma Shard,https://twitter.com/KarmaShard
25628 votes in total 17940 voted for as the biggest LIAR Rahul Gandhi is the new of India http…,2019-01-31 23:59:36,1102,https://pbs.twimg.com/profile_images/1092969989248675840/ntRqi8q9_normal.jpg,229,positive,"@mssirsa: 25628 votes in total 

17940 voted for @RahulGandhi as the biggest LIAR

Rahul Gandhi is the new @ArvindKejriwal of India http…",1091123867307827200,sanjay saxena,https://twitter.com/sanjays39455973
PM P V Narasimha Rao “What you promise for the future is strengthened by what you have done in the past.If you have done n…,2019-01-31 23:59:06,120,https://pbs.twimg.com/profile_images/1086254166576492546/brlOiwq__normal.jpg,4525,neutral,"@BJP4India: PM P V Narasimha Rao: “What you promise for the future, is strengthened by what you have done in the past.If you have done n…",1091123740753092608,सत्यनारायण गोविंदराजन,https://twitter.com/gsatyanarayanag
25628 votes in total 17940 voted for as the biggest LIAR Rahul Gandhi is the new of India http…,2019-01-31 23:58:59,553,https://pbs.twimg.com/profile_images/1084473739247476736/ljtjjZ0f_normal.jpg,229,positive,"@mssirsa: 25628 votes in total 

17940 voted for @RahulGandhi as the biggest LIAR

Rahul Gandhi is the new @ArvindKejriwal of India http…",1091123713070657541,Vipin Tomar,https://twitter.com/Vipintomar9358
_Maarx Abhishek Mishra is punished because he is a common citizen If police starts taking same actions against all those who are…,2019-01-31 23:58:59,1676,https://pbs.twimg.com/profile_images/836710334018818048/qrdk2__t_normal.jpg,583,negative,@Karl_Maarx: Abhishek Mishra is punished because he is a common citizen. If police starts taking same actions against all those who are…,1091123710285602816,Gourab  Mondal,https://twitter.com/GourabMondalSun
You should feel insulted to defend a vile act of Rahul Gandhi who misused his visit to an ailing man for petty politics an…,2019-01-31 23:58:46,3635,https://pbs.twimg.com/profile_images/870388098164764672/V1NosdOK_normal.jpg,686,neutral,@MyrtleFerns: You should feel insulted to defend a vile act of Rahul Gandhi who misused his visit to an ailing man for petty politics an…,1091123657911517184,InnovativeHindu 🇮🇳,https://twitter.com/InnovativeHindu
BJP MP Babul Supriyo asked Congress chief Rahul Gandhi if he would congratulate PM Narendra Modi for bringing back Rajeev Sha…,2019-01-31 23:58:29,98,https://pbs.twimg.com/profile_images/424726291120521216/otG2WfRD_normal.jpeg,1182,neutral,@TimesNow: BJP MP Babul Supriyo asked Congress chief Rahul Gandhi if he would congratulate PM Narendra Modi for bringing back Rajeev Sha…,1091123585895227392,Kinjal Patel,https://twitter.com/kinjalpatelguj
Rahul Gandhi recommends the Bhagavad Gita to Narendra Modi. A Man who deserts his troops at every failure who vacations f…,2019-01-31 23:58:02,4314,https://pbs.twimg.com/profile_images/378800000756930564/c6846c221e081c5f25f824d83c1f3193_normal.jpeg,643,negative,"@shilpamdas: Rahul Gandhi recommends the Bhagavad Gita to Narendra Modi.

A Man who deserts his troops at every failure, who vacations f…",1091123470791069696,Dharmendra Bihari 🇮🇳,https://twitter.com/DharmendraBihar
_Ind The results of #jindbypoll will comprehensively settle two things &amp BJP still holds sway &amp u…,2019-01-31 23:57:51,160,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,987,neutral,@Shehzad_Ind: The results of #jindbypoll will comprehensively settle two things : @mlkhattar &amp; BJP still holds sway &amp; @BhupinderSHooda u…,1091123423982407681,Rajesh,https://twitter.com/rajeshisin1
Just hear the language of Tripura Congress working president Pradyut Manikya. This is being spoken specifically on instr…,2019-01-31 23:57:49,769,https://pbs.twimg.com/profile_images/1066359252535644160/l4cx8g0b_normal.jpg,73,neutral,"@SureshNakhua: Just hear the language of Tripura Congress working president Pradyut Manikya.

This is being spoken specifically on instr…",1091123418618126336,Hareshshah2014,https://twitter.com/Hareshshah20143
राहु गांध ए ब्ला य वार् नेत भ बनन लाय नही है शहजा पूनावाला प क्यों #RahulGandhi #RahulVsParrikar #Rahul…,2019-01-31 23:57:30,115596,https://pbs.twimg.com/profile_images/688748172399656961/YIfx5cPe_normal.jpg,553,neutral,"@NitinUploader: राहुल गांधी एक ब्लाक या वार्ड नेता भी बनने लायक नहीं है: शहजाद पूनावाला, पर क्यों? 
#RahulGandhi #RahulVsParrikar #Rahul…",1091123338691276800,मुफ्त वाले बाबा #F4F,https://twitter.com/TFB_INDIA
Rahul Gandhi made many promises for farmers before election. Here's what he did for farmers after election #CongressKeKar…,2019-01-31 23:57:17,3704,https://pbs.twimg.com/profile_images/997413434714079233/EYVmckRr_normal.jpg,130,positive,"@iAnkurSingh: Rahul Gandhi made many promises for farmers before election.

Here's what he did for farmers after election #CongressKeKar…",1091123282739384320,Kaushik Amlani,https://twitter.com/AmlaniKaushik
PM Modi bowled bouncer and eliminated Christian Michel Deepak Talwar Rajiv Saxena In next few weeks he'll bowl yorker…,2019-01-31 23:56:41,46,https://pbs.twimg.com/profile_images/1048577364894998530/KRXtrCFS_normal.jpg,837,negative,"@mvmeet: PM Modi bowled bouncer and eliminated

* Christian Michel
* Deepak Talwar
* Rajiv Saxena

In next few weeks, he'll bowl yorker…",1091123132969115648,Lonestar12ka4,https://twitter.com/lonestar12ka4
Is he India’s first post truth politician From an imaginary Rafale to a loan waiver scam he is now into hallucinating conversat…,2019-01-31 23:56:28,150,https://pbs.twimg.com/profile_images/1007462650081472512/qey4wqmR_normal.jpg,10,positive,"@dna: Is he India’s first post truth politician? From an imaginary Rafale, to a loan waiver scam, he is now into hallucinating conversat…",1091123078996811779,LawStudent,https://twitter.com/law_student513
_ If govt is earning 1 lac cr from gst in 1 month that means ppl are buying lacs of crore worth goods every month which means…,2019-01-31 23:55:57,158,https://pbs.twimg.com/profile_images/883626186122948608/WNJoQcMz_normal.jpg,859,positive,@muglikar_: If govt is earning 1 lac cr from gst in 1 month that means ppl are buying lacs of crore worth goods every month which means…,1091122947606102018,Hemanshu,https://twitter.com/heman_
My piece 363 million Indians What Modi forgot Rahul Gandhi remembered!,2019-01-31 23:55:56,43,https://pbs.twimg.com/profile_images/1033374237552254983/rLiSiSGm_normal.jpg,283,neutral,"@JhaSanjay: My piece: “ 363 million Indians: What Modi forgot, Rahul Gandhi remembered!” https://t.co/psldy4mwkV",1091122943927685120,Satpal Rose,https://twitter.com/satpal_rose
_India In #RahulGandhi ’s vision and #Congress blueprint ignoring 363 million #poor of India while you are yourself suited–booted…,2019-01-31 23:55:49,43,https://pbs.twimg.com/profile_images/1033374237552254983/rLiSiSGm_normal.jpg,62,negative,"@NH_India: In #RahulGandhi ’s vision and #Congress blueprint, ignoring 363 million #poor of India, while you are yourself suited–booted…",1091122914731139074,Satpal Rose,https://twitter.com/satpal_rose
Goa CM Manohar parrikar suffering from Pancreatic Cancer but Rahul Gandhi is Himself a Cancer for this countr…,2019-01-31 23:55:36,56,https://pbs.twimg.com/profile_images/1094249586984505344/yBgmcp_U_normal.jpg,797,neutral,@rishibagree: @RahulGandhi Goa CM Manohar parrikar suffering from Pancreatic Cancer but Rahul Gandhi is Himself a Cancer for this countr…,1091122860221812737,T.Gaurav,https://twitter.com/tgaurav81
_707070 RaGa ‘The Dracula of Indian politics ‘s fangs are out. 👇👇 Pastor Modi will nail the cross on your chest औ कितन गि…,2019-01-31 23:55:27,1203,https://pbs.twimg.com/profile_images/1092752660707663872/Fov1Rpzv_normal.jpg,188,neutral,"@mini_707070: RaGa ‘The Dracula’ of Indian politics ‘s fangs are out.

👇👇

Pastor Modi will nail the cross on your chest. 

और कितना गि…",1091122822166962176,Chil Swarr 🇮🇳,https://twitter.com/chilswar
"""Manohar Ji is the pride of India the pride of Goa Rahul Gandhi's a nobody &amp even if he labours a 100 lifes he still would…",2019-01-31 23:55:13,45,https://pbs.twimg.com/profile_images/995768878939623424/mz2HNUWh_normal.jpg,481,neutral,"@kallgorr: ""Manohar Ji is the pride of India, the pride of Goa. Rahul Gandhi's a nobody &amp; even if he labours a 100 lifes, he still would…",1091122764000444417,VNP,https://twitter.com/TheVinayPaleja
_ If govt is earning 1 lac cr from gst in 1 month that means ppl are buying lacs of crore worth goods every month which means…,2019-01-31 23:54:42,318,https://pbs.twimg.com/profile_images/921350612813365248/jtHOy4GM_normal.jpg,859,positive,@muglikar_: If govt is earning 1 lac cr from gst in 1 month that means ppl are buying lacs of crore worth goods every month which means…,1091122634434048000,🚩🚩 जय श्रीराम 🚩🚩,https://twitter.com/JaiShreeRam__
If this picture doesn't make you vote for the current Government again in 2019 then you probably deserve Rahul Gandhi as t…,2019-01-31 23:54:24,92,https://pbs.twimg.com/profile_images/863404092780969986/VCWgrJkq_normal.jpg,314,neutral,"@Chopdasaab: If this picture doesn't make you vote for the current Government again in 2019, then you probably deserve Rahul Gandhi as t…",1091122556566978562,Chandrasekhar,https://twitter.com/Chandru_Pdp
itter The great leader of India Shree Rahul Gandhi ji 🙏🌹🌹🌹🙏,2019-01-31 23:54:00,1341,https://pbs.twimg.com/profile_images/1077158971486756865/aU-D3OIR_normal.jpg,1,positive,itter The great leader of India Shree Rahul Gandhi ji 🙏🌹🌹🌹🙏,1091122455639453697,Ram mehar Dabla🙏,https://twitter.com/RammeharDabla
_India Congress has a dual face Rahul Gandhi &amp his few piddis are pretending to be the best wishers of Hindus on the other h…,2019-01-31 23:53:48,9930,https://pbs.twimg.com/profile_images/378800000809174783/61047c3abc93790d1899d7bf3c6accb4_normal.jpeg,41,positive,"@TuhinDey_India: Congress has a dual face. Rahul Gandhi &amp; his few piddis are pretending to be the best wishers of Hindus, on the other h…",1091122405920202754,someone somewhere,https://twitter.com/ls2008
PM Modi bowled bouncer and eliminated Christian Michel Deepak Talwar Rajiv Saxena In next few weeks he'll bowl yorker…,2019-01-31 23:53:32,1566,https://pbs.twimg.com/profile_images/1070465595798405120/OKmb6gvs_normal.jpg,837,negative,"@mvmeet: PM Modi bowled bouncer and eliminated

* Christian Michel
* Deepak Talwar
* Rajiv Saxena

In next few weeks, he'll bowl yorker…",1091122338068905985,binugazi NAMO in २०१९,https://twitter.com/binugazi
PM Modi bowled bouncer and eliminated Christian Michel Deepak Talwar Rajiv Saxena In next few weeks he'll bowl yorker…,2019-01-31 23:53:25,94,https://pbs.twimg.com/profile_images/1068551814880980992/rTvSyOzv_normal.jpg,837,negative,"@mvmeet: PM Modi bowled bouncer and eliminated

* Christian Michel
* Deepak Talwar
* Rajiv Saxena

In next few weeks, he'll bowl yorker…",1091122308528300032,अJAY,https://twitter.com/ajaydaga05
“The worst part about being lied to is knowing that you weren’t worth the truth” Jean-Paul Sartre My post on the evil lies of…,2019-01-31 23:53:24,131,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,254,negative,"@saket71: “The worst part about being lied to is knowing that you weren’t worth the truth”- Jean-Paul Sartre
My post on the evil lies of…",1091122306762588160,Srinivas Korlepara,https://twitter.com/SrinKorlepara
Rahul Gandhi went and met a terminally ill man with the sole intention of playing politics The proper response to this depr…,2019-01-31 23:53:20,30,https://pbs.twimg.com/profile_images/1073072134266740737/IaeI4Yuw_normal.jpg,784,negative,@amishra77: Rahul Gandhi went and met a terminally ill man with the sole intention of playing politics. The proper response to this depr…,1091122289892945920,Chirayu Pancholi,https://twitter.com/ChirayuPanchol1
आपक राष्ट् भक् कौ 🙂 Retweet narendra modi ji Like rahul Gandhi,2019-01-31 23:53:03,461,https://pbs.twimg.com/profile_images/1093867808604053504/9WiOyfSV_normal.jpg,70,neutral,"@Nidhiagarwallll: आपका राष्ट्र भक्त कौन 🙂

Retweet = narendra modi ji

Like = rahul Gandhi https://t.co/C2yOUbrYED",1091122219378307073,LALARAM GODARA(  भारतीय सेना का फैन),https://twitter.com/LalaramLalaram7
